query,category,embedding_count,id_matching_count,combined_count,embedding_time,id_matching_time,combined_time,overlap_embedding_combined,overlap_id_combined,overlap_embedding_id,rank_corr_embedding_combined,rank_corr_id_combined,rank_corr_embedding_id,embedding_coverage,id_matching_coverage,combined_coverage
I want to learn machine learning and neural networks,semantic-only,20,0,20,1.161848783493042,0.00045013427734375,0.7059986591339111,1.0,0.0,0.0,1.0,0.0,0.0,,,
Courses about data structures and algorithms,semantic-only,20,0,20,0.7102677822113037,0.00029397010803222656,0.8860447406768799,1.0,0.0,0.0,1.0,0.0,0.0,,,
I'm interested in computer vision and image processing,semantic-only,20,0,20,0.725283145904541,0.00032401084899902344,0.7669169902801514,1.0,0.0,0.0,1.0,0.0,0.0,,,
Optimization and operations research courses,semantic-only,20,0,20,0.7618885040283203,0.0002980232238769531,0.7030737400054932,1.0,0.0,0.0,1.0,0.0,0.0,,,
Courses on database systems and SQL,semantic-only,20,0,20,0.6803271770477295,0.00029730796813964844,0.8579330444335938,1.0,0.0,0.0,1.0,0.0,0.0,,,
I need CS 1332,id-only,20,1,20,0.7645478248596191,0.0015950202941894531,0.7341208457946777,0.9047619047619048,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CS 7641 or similar courses,id-only,20,1,20,0.6445889472961426,0.0014731884002685547,0.7915430068969727,0.9047619047619048,0.05,0.0,0.9263157894736841,0.0,0.0,0.0,1.0,1.0
MATH 2106 and related courses,id-only,20,1,20,0.6821184158325195,0.001499176025390625,0.7044093608856201,0.9047619047619048,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ISYE 6501,id-only,20,1,20,0.8820710182189941,0.0014636516571044922,0.8291676044464111,0.9047619047619048,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Machine learning courses like CS 7641,mixed,20,1,20,0.6848621368408203,0.0014197826385498047,0.7375907897949219,1.0,0.05,0.05,0.9849624060150375,0.0,0.0,1.0,1.0,1.0
"Data structures courses, specifically CS 1332 or equivalent",mixed,20,1,20,0.7215774059295654,0.0015306472778320312,0.6949641704559326,1.0,0.05,0.05,0.8421052631578947,0.0,0.0,1.0,1.0,1.0
I want to take CS 4641 or other machine learning courses,mixed,20,1,20,0.7594070434570312,0.0014166831970214844,0.7931196689605713,1.0,0.05,0.05,0.9172932330827066,0.0,0.0,1.0,1.0,1.0
"Optimization courses, maybe ISYE 6669",mixed,20,1,20,0.7497670650482178,0.001483917236328125,0.8597593307495117,0.9047619047619048,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ISYE courses on optimization and operations research,department-specific,20,0,20,0.7346973419189453,0.00030922889709472656,0.7366032600402832,1.0,0.0,0.0,1.0,0.0,0.0,,,
CS courses about artificial intelligence,department-specific,20,0,20,0.7103481292724609,0.0003063678741455078,0.7584974765777588,1.0,0.0,0.0,1.0,0.0,0.0,,,
MATH courses on linear algebra and calculus,department-specific,20,0,20,0.8360812664031982,0.00047469139099121094,0.7307395935058594,1.0,0.0,0.0,1.0,0.0,0.0,,,
ECE courses on signal processing,department-specific,20,0,20,0.7514574527740479,0.0003230571746826172,0.7341809272766113,1.0,0.0,0.0,1.0,0.0,0.0,,,
Graduate courses in computer vision,graduate-level,20,0,20,0.6915252208709717,0.0003190040588378906,0.7225112915039062,1.0,0.0,0.0,1.0,0.0,0.0,,,
Advanced machine learning courses for graduate students,graduate-level,20,0,20,0.745272159576416,0.0003142356872558594,1.0724377632141113,1.0,0.0,0.0,1.0,0.0,0.0,,,
Courses with minimal prerequisites,edge-case,20,0,20,0.7482254505157471,0.00033354759216308594,0.6899845600128174,1.0,0.0,0.0,1.0,0.0,0.0,,,
CS 1332 CS 1331,edge-case,20,2,20,0.9896557331085205,0.0014553070068359375,0.7092199325561523,0.8181818181818182,0.1,0.0,1.0,0.9999999999999999,0.0,0.0,1.0,1.0
I haven't taken calculus,edge-case,20,0,20,0.7015376091003418,0.00034356117248535156,0.8646049499511719,1.0,0.0,0.0,1.0,0.0,0.0,,,
